Person ID,Exists,Job ID,Candidate_SF_Id,Job_SF_Id,Job_Submission_Exists,Error
535017,Exist,179306,a00N300001F2yvrIAB,a02N300000qJPOAIA4,Not Exist,
535032,Not Exist,179306,,,N/A (candidate not in SF),
535187,Not Exist,179306,,,N/A (candidate not in SF),
535226,Not Exist,179306,,,N/A (candidate not in SF),
535236,Not Exist,179306,,,N/A (candidate not in SF),
535433,Not Exist,179306,,,N/A (candidate not in SF),
535433,Not Exist,182162,,,N/A (candidate not in SF),
535433,Not Exist,179303,,,N/A (candidate not in SF),
535444,Exist,179303,a00N300001F2yvxIAB,a02N300000qJg7FIAS,Exist,
535661,Not Exist,182162,,,N/A (candidate not in SF),
535661,Not Exist,179306,,,N/A (candidate not in SF),
535720,Not Exist,179306,,,N/A (candidate not in SF),
535720,Not Exist,182162,,,N/A (candidate not in SF),
535757,Exist,179303,a00N300001GNRCKIA5,a02N300000qJg7FIAS,Not Exist,
535757,Exist,179306,a00N300001GNRCKIA5,a02N300000qJPOAIA4,Not Exist,
535797,Exist,179306,a00N300001Eu4gQIAR,a02N300000qJPOAIA4,Not Exist,
535927,Exist,179306,a00N300001F2yw2IAB,a02N300000qJPOAIA4,Exist,
536018,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
536156,Exist,179303,a00N300001F2ywBIAR,a02N300000qJg7FIAS,Exist,
536279,Exist,179303,a00N300001F2ywDIAR,a02N300000qJg7FIAS,Exist,
536308,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
536352,Not Exist,181706,,,N/A (candidate not in SF),
536364,Not Exist,179306,,,N/A (candidate not in SF),
536364,Not Exist,179303,,,N/A (candidate not in SF),
536471,Exist,179306,a00N300001GNRCLIA5,a02N300000qJPOAIA4,Not Exist,
536471,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
536518,Exist,179303,a00N300001F2ywPIAR,a02N300000qJg7FIAS,Exist,
536518,Exist,179306,a00N300001F2ywPIAR,a02N300000qJPOAIA4,Exist,
536597,Not Exist,179306,,,N/A (candidate not in SF),
536757,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
536766,Exist,179306,a00N300001Eu4h8IAB,a02N300000qJPOAIA4,Exist,
536806,Not Exist,182162,,,N/A (candidate not in SF),
536809,Not Exist,179303,,,N/A (candidate not in SF),
536830,Exist,179306,a00N300001F2z1OIAR,a02N300000qJPOAIA4,Not Exist,
536834,Not Exist,179303,,,N/A (candidate not in SF),
536878,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
536878,Exist,179306,a00N300001F2z1PIAR,a02N300000qJPOAIA4,Exist,
537160,Exist,179306,a00N300001F2z1XIAR,a02N300000qJPOAIA4,Exist,
537469,Exist,179306,a00N300001Eu4hjIAB,a02N300000qJPOAIA4,Exist,
537685,Exist,179306,a00N300001F2z1gIAB,a02N300000qJPOAIA4,Exist,
538824,Not Exist,182162,,,N/A (candidate not in SF),
539084,Not Exist,181706,,,N/A (candidate not in SF),
539084,Not Exist,181708,,,N/A (candidate not in SF),
539100,Exist,179306,a00N300001F2z21IAB,a02N300000qJPOAIA4,Exist,
539756,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
539756,Exist,179306,a00OL000002U2YkYAK,a02N300000qJPOAIA4,Not Exist,
539772,Exist,179306,a00N300001F2z2BIAR,a02N300000qJPOAIA4,Not Exist,
539777,Exist,179306,a00N300001F2z2CIAR,a02N300000qJPOAIA4,Not Exist,
