person id,count
4661206,2
4713237,2
4748861,2
4766680,2
4774732,2
4856543,2
4863104,2
4893202,2
4902728,2
4936426,2
4987228,2
5155180,2
5326947,2
5600259,2
5771427,2
5926081,2
5939386,2
6621897,2
6721320,2
7421268,2
8783080,2
4790290,2
4758317,2
4608605,2
6129618,2
4423574,2
9017619,2
3325501,2
8078554,2
4344708,2
5760462,2
7368488,2
9018077,2
6897288,2
6698153,2
7088313,2
4855586,2
8047801,2
1889769,2
3626958,2
4953461,2
7807067,2
7127501,2
5888442,2
7004604,2
8124299,2
6982950,2
5843654,2
5387083,2
2594609,2
3024788,2
6053815,2
7106871,2
7906833,2
7728882,2
429864,2
6345595,2
6443603,2
7038965,2
1607544,2
7575330,2
5580943,2
3295423,2
5613794,2
8418892,2
8632196,2
7183790,2
5764099,2
3208485,2
7697121,2
3205420,2
7018234,2
7108448,2
8752445,2
5861195,2
3197194,2
3351141,2
7731717,2
7745252,2
7734202,2
6314144,2
5325342,2
8767573,2
2541967,2
7696580,2
6897352,2
2585450,2
4983355,2
7204563,2
4707914,2
6739338,2
3149511,2
5938252,2
5614694,2
1877465,2
5828878,2
5982332,2
8494895,2
7601381,2
4454702,2
7110579,2
7693714,2
8053949,2
7397392,2
7305182,2
2552438,2
2594822,2
8199088,2
5800557,2
6996597,2
3166893,2
7498155,2
8527449,2
6459349,2
5942104,2
6687197,2
7067271,2
3978505,2
5068454,2
6129518,2
7139722,2
7683632,2
8562964,2
8107002,2
6718395,2
8657945,2
3053580,2
2964661,2
3877621,2
2118261,2
5506134,2
5440504,2
6854430,2
7961339,2
3356253,2
2891658,2
8041733,2
8512520,2
5921227,2
5851361,2
